payment_id,policy_id,payment_date,amount,payment_mode,status
1,46974,2023-08-27,56730,Cash,Success
2,59362,2023-10-09,27951,UPI,Failed
3,322,2022-04-23,43094,NetBanking,Pending
4,36127,2023-01-22,21669,Cash,Success
5,53838,2024-06-02,4066,Cash,Success
6,5908,2023-06-10,31159,Cash,Success
7,39090,2022-02-09,31045,UPI,Success
8,23594,2022-06-11,17375,Card,Success
9,24222,2023-01-10,49788,NetBanking,Success
10,10532,2023-11-15,43795,Card,Success
11,46967,2023-12-01,31873,NetBanking,Success
12,2159,2023-07-16,11364,Card,Success
13,58805,2023-08-09,36384,Card,Failed
14,56757,2022-07-19,32406,NetBanking,Success
15,14255,2023-06-14,13668,Cash,Failed
16,15862,2022-04-18,10295,Cash,Pending
17,58244,2022-07-13,22268,Cash,Success
18,28036,2023-01-23,23706,Card,Success
19,16981,2022-09-16,29166,Card,Success
20,35473,2022-05-03,25050,Cash,Failed
21,17105,2023-06-13,24984,Cash,Success
22,22648,2023-09-02,37068,Cash,Success
23,64294,2023-02-11,29030,Cash,Success
24,19010,2022-11-09,24418,Card,Success
25,27514,2023-12-08,56534,Card,Success
26,41415,2024-04-17,23151,UPI,Success
27,5051,2023-08-30,54239,NetBanking,Success
28,63433,2022-08-24,55824,NetBanking,Success
29,24036,2023-08-22,25261,UPI,Success
30,37645,2022-03-10,39452,UPI,Success
31,17625,2022-07-15,50842,NetBanking,Success
32,43113,2023-09-08,40761,NetBanking,Success
33,54766,2023-03-01,9737,Card,Failed
34,66379,2024-01-16,34570,Cash,Success
35,61478,2023-09-20,44664,UPI,Success
36,14817,2022-12-01,51416,NetBanking,Success
37,55018,2022-09-12,13232,Card,Success
38,65790,2023-11-20,53636,NetBanking,Success
39,9437,2023-05-06,30774,NetBanking,Success
40,17447,2023-05-30,24501,Card,Success
41,53663,2022-04-06,50892,NetBanking,Success
42,46881,2023-03-08,3039,NetBanking,Success
43,29907,2023-05-22,47482,Cash,Success
44,40061,2022-03-04,2429,NetBanking,Success
45,48104,2023-05-17,49839,UPI,Success
46,42518,2022-11-15,16595,NetBanking,Success
47,27732,2023-01-24,23516,UPI,Failed
48,5266,2024-06-10,20127,UPI,Success
49,11823,2022-11-12,40644,Cash,Success
50,22386,2022-07-29,31738,NetBanking,Success
51,51266,2022-06-25,45248,Card,Success
52,69508,2023-03-17,21970,NetBanking,Success
53,40286,2023-04-03,26626,Cash,Success
54,32026,2022-10-21,23438,Cash,Failed
55,26881,2022-12-09,8841,UPI,Success
56,26429,2023-01-12,13608,Cash,Success
57,7861,2023-04-15,59827,Cash,Success
58,13097,2022-05-03,44108,Card,Success
59,19382,2023-09-24,13648,UPI,Success
60,12900,2023-10-29,53124,Cash,Success
61,38051,2022-01-11,11887,Card,Failed
62,26212,2024-01-21,37855,NetBanking,Failed
63,1595,2024-01-25,37316,NetBanking,Success
64,35693,2023-05-24,37798,Cash,Success
65,43425,2023-10-23,54067,UPI,Success
66,54821,2022-08-30,14896,Card,Success
67,15277,2023-09-08,51959,Cash,Success
68,20377,2023-05-06,3063,UPI,Success
69,29967,2023-07-28,28951,NetBanking,Success
70,67824,2022-05-06,9914,Card,Success
71,23828,2023-04-02,12647,Card,Success
72,63593,2022-11-26,47713,Card,Success
73,52148,2023-06-24,11413,NetBanking,Success
74,51246,2023-01-21,16903,NetBanking,Failed
75,44534,2022-09-14,17205,UPI,Success
76,43094,2023-12-07,30015,Cash,Success
77,43661,2024-01-03,18405,UPI,Success
78,37530,2023-01-04,44751,Card,Success
79,17114,2022-12-03,7528,Cash,Success
80,42974,2024-01-05,7534,Cash,Success
81,66027,2023-10-14,34049,Cash,Failed
82,18245,2022-09-30,36883,Cash,Success
83,58313,2024-05-20,43467,NetBanking,Success
84,49478,2023-11-25,48929,NetBanking,Success
85,21816,2023-08-15,59908,NetBanking,Success
86,27939,2024-04-01,39108,Cash,Success
87,47498,2022-06-04,14088,Cash,Failed
88,14899,2022-01-30,51328,UPI,Success
89,57001,2023-07-15,31026,NetBanking,Success
90,50283,2022-11-25,29024,NetBanking,Failed
91,29605,2022-06-08,25218,Cash,Success
92,12030,2022-11-10,53216,UPI,Success
93,20017,2022-05-02,16252,Cash,Success
94,5431,2024-06-17,38865,Card,Success
95,28559,2022-10-04,55023,Cash,Success
96,49242,2022-03-20,44927,Cash,Failed
97,50288,2022-05-10,17834,Cash,Success
98,47789,2023-06-12,48956,UPI,Success
99,5833,2022-04-05,43009,Card,Success
100,63127,2024-01-18,32325,Cash,Success
101,62759,2022-10-04,35297,Cash,Success
102,1046,2022-03-22,2206,UPI,Pending
103,17599,2023-01-25,16657,Card,Success
104,3106,2023-01-13,42643,UPI,Success
105,21469,2024-03-22,34845,Cash,Failed
106,36413,2022-04-02,5147,UPI,Success
107,19211,2022-07-14,13956,Card,Success
108,29439,2023-07-01,23165,Cash,Success
109,53629,2022-03-23,41088,Card,Success
110,9844,2022-08-02,52011,Cash,Success
111,18993,2024-02-07,39920,Card,Success
112,45020,2022-05-30,29371,Card,Success
113,2380,2022-04-04,40083,Card,Success
114,68539,2022-02-18,12806,Card,Success
115,40401,2023-04-25,33198,UPI,Success
116,67588,2023-03-09,20155,Card,Success
117,1767,2023-06-28,27775,Card,Success
118,49937,2022-10-29,27800,Card,Success
119,29331,2022-12-31,49565,NetBanking,Failed
120,33023,2024-04-10,51574,UPI,Success
121,36863,2023-02-11,18023,NetBanking,Success
122,57286,2022-07-15,42487,Card,Success
123,50603,2024-04-03,47930,UPI,Success
124,22948,2024-06-08,27040,Card,Success
125,65709,2024-05-03,50140,UPI,Success
126,2044,2022-04-02,44185,Card,Success
127,35673,2023-07-13,52103,UPI,Success
128,47295,2024-02-21,35135,NetBanking,Success
129,16723,2022-08-30,24596,Card,Success
130,62226,2024-01-11,59698,UPI,Success
131,30860,2022-04-12,59468,NetBanking,Success
132,24911,2022-12-06,31070,Cash,Failed
133,6694,2022-03-21,10902,UPI,Success
